LaneNo,source,target,type,weight
104,272_용산역,287_이촌역,subway,0.6588159403669724
104,7_가좌역,346_홍대입구역,subway,0.00871559633027523
104,228_신촌역,181_서울역,subway,1.4639406536697248
104,7_가좌역,228_신촌역,subway,0.4379157110091743
104,107_디지털미디어시티역,7_가좌역,subway,0.42560923165137615
104,202_수색역,107_디지털미디어시티역,subway,0.07282826834862385
104,351_화전역,202_수색역,subway,0.06394065366972478
104,13_강매역,351_화전역,subway,0.0531608371559633
104,344_행신역,13_강매역,subway,0.04038130733944954
104,75_능곡역,344_행신역,subway,0.019165711009174313
104,80_대곡역,75_능곡역,subway,0.014435206422018348
104,346_홍대입구역,176_서강대역,subway,0.0014549885321100918
108,325_청량리역,353_회기역,subway,0.46012203467153284
108,353_회기역,311_중랑역,subway,0.27854128649635035
108,35_광운대역,169_상봉역,subway,0.3572137317518248
108,169_상봉역,118_망우역,subway,0.04550638686131387
108,118_망우역,211_신내역,subway,0.016372034671532847
108,311_중랑역,169_상봉역,subway,0.27237682481751824
109,10_강남역,244_양재역,subway,0.2809633027522936
109,244_양재역,243_양재시민의숲역,subway,0.03796508664627931
109,243_양재시민의숲역,322_청계산입구역,subway,0.01463111620795107
113,223_신설동역,145_보문역,subway,0.28167892156862745
113,145_보문역,192_성신여대입구역,subway,0.22359943977591037
113,192_성신여대입구역,299_정릉역,subway,0.1209733893557423
113,299_정릉역,152_북한산보국문역,subway,0.09769782913165266
113,195_솔샘역,164_삼양사거리역,subway,0.0342874649859944
113,164_삼양사거리역,165_삼양역,subway,0.03179271708683473
113,165_삼양역,348_화계역,subway,0.033368347338935574
113,348_화계역,6_가오리역,subway,0.04102766106442577
113,6_가오리역,1_4.19민주묘지역,subway,0.08686974789915966
113,1_4.19민주묘지역,194_솔밭공원역,subway,0.02663690476190476
113,194_솔밭공원역,153_북한산우이역,subway,0.01363795518207283
113,152_북한산보국문역,195_솔샘역,subway,0.060267857142857144
